Nom du post,Phase,Période,Plateforme,Thème,Angle,Visuel,Texte suggéré,Hashtags,Statut
Post 1 — Lancement Anouck,Annonce,Fin avril 2026,Facebook + Instagram,Renaissance + Anouck,Annonce de la réouverture avec Anouck comme fil rouge,"Belle photo d'Anouck au Col de Jaman ou en montagne","L'année dernière, une petite Saint-Bernard de 2 mois a débarqué au Col de Jaman. Elle s'appelle Anouck. Le Manoïre est devenu son premier terrain de jeu, son royaume, son premier chez-elle. Aujourd'hui, son maître reprend Le Manoïre. Les travaux vont bientôt commencer. Et Anouck reviendra avec lui. Le Manoïre renaît. Notre nom, notre âme, notre terrasse avec vue sur les Alpes. Réouverture fin juin. L'aventure commence maintenant. 🐾 📍 Col de Jaman Montreux",#LeManoire #ColDeJaman #Montreux #SaintBernard,Prêt à publier
Post 2 — Le lieu,Annonce,Début mai 2026,Facebook + Instagram,Présentation du cadre,1500m d'altitude la terrasse la vue sur les Alpes,"Photo panoramique terrasse / vue montagnes","Il y a des endroits qui font du bien rien qu'en les regardant. Le Col de Jaman c'est l'un d'eux. On vous prépare quelque chose. 🏔️",#LeManoire #ColDeJaman #AlpageMontreux #Montagne,À rédiger
Post 3 — Le nom,Annonce,Début mai 2026,Facebook + Instagram,Retour au nom originel,Un nom une histoire un retour aux racines,"Photo façade / entrée / panneau du restaurant","Le Manoïre. C'est son vrai nom. Celui d'avant. On le reprend. On le porte fièrement. Retour aux origines — fin juin 2026. 🤍",#LeManoire #Retour #Renaissance,À rédiger
Post 4 — Coup d'envoi travaux,Travaux,Mi-mai 2026,Facebook + Instagram,Début des travaux,Coulisses chantier avant/pendant,"Photo chantier qui démarre","Les marteaux sont sortis. Le Manoïre se refait une beauté. Anouck supervise les travaux. Rapport de chantier à suivre. 🐾🔨",#LeManoire #Travaux #Chantier #BientotOuvert,À rédiger
Post 5 — Anouck en action,Travaux,Mi-mai 2026,Facebook + Instagram,Anouck mascotte du chantier,Humour — elle inspecte les travaux,"Photo Anouck sur le chantier ou dans le restaurant vide","Rapport d'inspection du jour. Anouck a tout vérifié. Elle approuve. (Elle a aussi mangé un gant de travail mais c'est un détail.) 🐾",#Anouck #SaintBernard #LeManoire #ChefDeChantier,À rédiger
Post 6 — Le terroir,Travaux,Fin mai 2026,Facebook + Instagram,Cuisine et producteurs locaux,Ce qu'on va trouver dans l'assiette,"Photo produits locaux fromage charcuterie alpage","À 1 500m on ne plaisante pas avec la qualité. Producteurs locaux saveurs du terroir cuisine généreuse. C'est ce qui vous attend. 🧀🍷",#Terroir #Suisse #Alpage #CuisineLocale #LeManoire,À rédiger
Post 7 — Avancement travaux,Travaux,Fin mai 2026,Facebook + Instagram,Point d'étape — ça avance,Avant/après ou détail de rénovation,"Photo espace rénové ou en cours","Semaine X de travaux. Ça prend forme. La terrasse commence à nous faire de l'œil. ☀️ Rendez-vous fin juin !",#LeManoire #Travaux #BientotPret,À rédiger
Post 8 — L'équipe,Countdown,Début juin 2026,Facebook + Instagram,Présentation équipe,Les visages derrière Le Manoïre,"Photo équipe ou propriétaire sur place",À rédiger avec le propriétaire,#LeManoire #Equipe #Montreux,À rédiger
Post 9 — J-15,Countdown,Mi-juin 2026,Facebook + Instagram,Compte à rebours J-15,L'excitation monte plus que 15 jours,"Photo terrasse prête vue sur les Alpes soleil","J-15. La terrasse est prête. Les assiettes aussi. Anouck aussi. Et vous ? 🐾☀️",#LeManoire #Bientot #JMoins15,À rédiger
Post 10 — J-3 Teaser ouverture,Countdown,Fin juin 2026,Facebook + Instagram,Dernière ligne droite J-3,Impatience émotion on y est presque,"Photo Anouck devant le restaurant prêt","Dans 3 jours les portes s'ouvrent. On a tellement hâte de vous accueillir. Le Manoïre vous attend. 🏔️🤍",#LeManoire #JMoins3 #Ouverture,À rédiger
Post 11 — OUVERTURE,Countdown,Fin juin 2026,Facebook + Instagram,Jour J — ouverture officielle,Célébration émotion invitation à venir,"Photo restaurant plein de vie terrasse Anouck","Aujourd'hui Le Manoïre ouvre ses portes. La montagne le terroir la vue — et Anouck qui accueille tout le monde. On vous attend. Col de Jaman Montreux. 🐾🏔️🍽️",#LeManoire #Ouverture #ColDeJaman #Montreux,À rédiger
